127.0.0.1 - - [22/Mar/2016:10:48:00 -0400] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:10:48:01 -0400] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:10:48:05 -0400] "GET /index.htm;jsessionid=0FC3488D0F02FB72ED49A8E603086911 HTTP/1.1" 200 8704
0:0:0:0:0:0:0:1 - - [22/Mar/2016:10:48:05 -0400] "GET /style/css/about.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:10:48:05 -0400] "GET /style/css/style.css HTTP/1.1" 200 5391
0:0:0:0:0:0:0:1 - - [22/Mar/2016:10:48:05 -0400] "GET /style/js/AdNature.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:10:48:06 -0400] "GET /style/Skiier2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:10:48:06 -0400] "GET /style/Search%20Bar%203.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:10:48:06 -0400] "GET /style/Circle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:10:48:06 -0400] "GET /style/instagram40x40.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:10:48:06 -0400] "GET /style/Website%20Pic.jpg HTTP/1.1" 200 1213973
0:0:0:0:0:0:0:1 - - [22/Mar/2016:10:48:15 -0400] "POST /logincheck.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:10:48:15 -0400] "GET /index.htm HTTP/1.1" 200 8704
0:0:0:0:0:0:0:1 - - [22/Mar/2016:10:54:08 -0400] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:10:54:09 -0400] "GET /index.htm HTTP/1.1" 200 8704
0:0:0:0:0:0:0:1 - - [22/Mar/2016:10:54:09 -0400] "GET /style/css/about.css HTTP/1.1" 200 673
0:0:0:0:0:0:0:1 - - [22/Mar/2016:10:54:09 -0400] "GET /style/css/style.css HTTP/1.1" 200 5391
0:0:0:0:0:0:0:1 - - [22/Mar/2016:10:54:09 -0400] "GET /style/js/AdNature.js HTTP/1.1" 200 68
0:0:0:0:0:0:0:1 - - [22/Mar/2016:10:54:09 -0400] "GET /style/logo.png HTTP/1.1" 200 576904
0:0:0:0:0:0:0:1 - - [22/Mar/2016:10:54:09 -0400] "GET /style/Skiier2.png HTTP/1.1" 200 18560
0:0:0:0:0:0:0:1 - - [22/Mar/2016:10:54:09 -0400] "GET /style/Circle.png HTTP/1.1" 200 54024
0:0:0:0:0:0:0:1 - - [22/Mar/2016:10:54:09 -0400] "GET /style/Search%20Bar%203.png HTTP/1.1" 200 8592
0:0:0:0:0:0:0:1 - - [22/Mar/2016:10:54:09 -0400] "GET /style/Locations.PNG HTTP/1.1" 200 54289
0:0:0:0:0:0:0:1 - - [22/Mar/2016:10:54:09 -0400] "GET /style/Door.jpg HTTP/1.1" 200 31559
0:0:0:0:0:0:0:1 - - [22/Mar/2016:10:54:09 -0400] "GET /style/Map.png HTTP/1.1" 200 50687
0:0:0:0:0:0:0:1 - - [22/Mar/2016:10:54:09 -0400] "GET /style/Soccer.png HTTP/1.1" 200 159571
0:0:0:0:0:0:0:1 - - [22/Mar/2016:10:54:09 -0400] "GET /style/Walking.jpg HTTP/1.1" 200 16635
0:0:0:0:0:0:0:1 - - [22/Mar/2016:10:54:09 -0400] "GET /style/Canoeing.png HTTP/1.1" 200 340551
0:0:0:0:0:0:0:1 - - [22/Mar/2016:10:54:09 -0400] "GET /style/outdoors.png HTTP/1.1" 200 143467
0:0:0:0:0:0:0:1 - - [22/Mar/2016:10:54:09 -0400] "GET /style/twitter.png HTTP/1.1" 200 27482
0:0:0:0:0:0:0:1 - - [22/Mar/2016:10:54:09 -0400] "GET /style/facebook.png HTTP/1.1" 200 34462
0:0:0:0:0:0:0:1 - - [22/Mar/2016:10:54:09 -0400] "GET /style/instagram40x40.png HTTP/1.1" 200 5154
0:0:0:0:0:0:0:1 - - [22/Mar/2016:10:54:10 -0400] "GET /style/Website%20Pic.jpg HTTP/1.1" 200 1213973
0:0:0:0:0:0:0:1 - - [22/Mar/2016:10:54:10 -0400] "GET /style/Transparent%20Mountain.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:10:54:10 -0400] "GET /index.htm HTTP/1.1" 200 8704
0:0:0:0:0:0:0:1 - - [22/Mar/2016:11:08:29 -0400] "GET /aboutus/index.htm HTTP/1.1" 200 1093
